Date,Open,High,Low,Close,Adj Close,Volume
2023-08-30,10477.6396484375,10569.5498046875,10446.4599609375,10482.5,10482.5,1342800
2023-08-31,10471.990234375,10483.080078125,10405.9599609375,10418.2099609375,10418.2099609375,1124200
2023-09-01,10449.599609375,10513.419921875,10429.58984375,10463.740234375,10463.740234375,952000
2023-09-04,10520.4599609375,10611.740234375,10473.1904296875,10611.740234375,10611.740234375,1225500
2023-09-05,10593.6796875,10611.4404296875,10522.8896484375,10540.7099609375,10540.7099609375,989500
2023-09-06,10503.150390625,10531.2900390625,10449.16015625,10515.2099609375,10515.2099609375,875600
2023-09-07,10493.3701171875,10493.3701171875,10321.3798828125,10321.4404296875,10321.4404296875,910700
2023-09-08,10284.48046875,10319.83984375,10233.7099609375,10281.8798828125,10281.8798828125,752300
2023-09-11,10290.8095703125,10443.0,10256.23046875,10382.3798828125,10382.3798828125,1057500
2023-09-12,10376.16015625,10421.5595703125,10349.330078125,10373.990234375,10373.990234375,833400
2023-09-13,10351.7900390625,10373.150390625,10200.7001953125,10255.8701171875,10255.8701171875,808400
2023-09-14,10243.240234375,10252.01953125,10154.6396484375,10197.58984375,10197.58984375,748400
2023-09-15,10213.6103515625,10241.8798828125,10115.2802734375,10144.58984375,10144.58984375,828500
2023-09-18,10111.669921875,10253.490234375,10093.4697265625,10200.0400390625,10200.0400390625,813200
2023-09-19,10185.0703125,10185.0703125,10082.669921875,10125.73046875,10125.73046875,742500
2023-09-20,10110.41015625,10123.6904296875,10072.4599609375,10072.4599609375,10072.4599609375,711500
2023-09-21,10050.48046875,10087.0302734375,9981.51953125,9981.669921875,9981.669921875,739200
2023-09-22,9975.3701171875,10183.9296875,9962.9404296875,10178.740234375,10178.740234375,1013800
2023-09-25,10181.1796875,10181.1796875,10105.2099609375,10120.6201171875,10120.6201171875,896800
2023-09-26,10110.0595703125,10146.8896484375,10060.150390625,10060.150390625,10060.150390625,753000
2023-09-27,10057.990234375,10185.01953125,10057.169921875,10104.3203125,10104.3203125,862000
2023-09-28,10131.66015625,10155.0302734375,10085.08984375,10109.5302734375,10109.5302734375,890200
2023-10-09,10095.7099609375,10139.490234375,9991.169921875,10106.9599609375,10106.9599609375,998400
2023-10-10,10133.01953125,10159.4697265625,10044.669921875,10050.0400390625,10050.0400390625,906300
2023-10-11,10088.1396484375,10164.0703125,10058.330078125,10084.8896484375,10084.8896484375,1016200
2023-10-12,10145.490234375,10174.23046875,10097.1103515625,10168.490234375,10168.490234375,1158900
2023-10-13,10110.3798828125,10110.3798828125,10028.740234375,10068.2802734375,10068.2802734375,1051900
2023-10-16,10065.0703125,10065.9697265625,9889.66015625,9924.919921875,9924.919921875,1052700
2023-10-17,9944.6796875,9958.98046875,9888.08984375,9940.2197265625,9940.2197265625,919100
2023-10-18,9914.01953125,9914.01953125,9809.3701171875,9816.6796875,9816.6796875,1010200
2023-10-19,9757.1904296875,9784.5302734375,9654.9697265625,9655.08984375,9655.08984375,1101000
2023-10-20,9605.2900390625,9665.8095703125,9554.6298828125,9570.3603515625,9570.3603515625,1008900
2023-10-23,9552.5498046875,9552.5498046875,9373.759765625,9425.98046875,9425.98046875,1073900
2023-10-24,9458.330078125,9523.900390625,9380.7900390625,9483.900390625,9483.900390625,1169300
2023-10-25,9573.669921875,9617.669921875,9524.8203125,9528.3095703125,9528.3095703125,1238800
2023-10-26,9470.490234375,9571.16015625,9432.83984375,9566.099609375,9566.099609375,1169200
2023-10-27,9535.650390625,9805.7001953125,9513.3203125,9770.83984375,9770.83984375,1337500
2023-10-30,9759.2197265625,9952.4296875,9759.169921875,9927.990234375,9927.990234375,1439200
2023-10-31,9924.7197265625,9927.4501953125,9814.98046875,9863.7998046875,9863.7998046875,1162600
2023-11-01,9897.9296875,9901.3701171875,9808.400390625,9826.73046875,9826.73046875,1033900
2023-11-02,9842.5595703125,9879.26953125,9733.3896484375,9734.76953125,9734.76953125,999200
2023-11-03,9747.8203125,9886.8603515625,9747.8203125,9853.8896484375,9853.8896484375,1140600
2023-11-06,9922.4501953125,10080.0,9922.4501953125,10071.5595703125,10071.5595703125,1592400
2023-11-07,10047.1396484375,10088.080078125,10000.5498046875,10056.490234375,10056.490234375,1342000
2023-11-08,10032.240234375,10101.5498046875,9986.83984375,10052.08984375,10052.08984375,1327000
2023-11-09,10037.5595703125,10100.0,10004.0595703125,10032.08984375,10032.08984375,1163100
2023-11-10,9987.4599609375,9997.7802734375,9939.099609375,9978.5400390625,9978.5400390625,1008400
2023-11-13,10012.849609375,10033.509765625,9936.7099609375,9988.830078125,9988.830078125,1063900
2023-11-14,9988.509765625,10056.8603515625,9963.5498046875,10005.5595703125,10005.5595703125,1059900
2023-11-15,10111.830078125,10122.2001953125,10048.4599609375,10077.9599609375,10077.9599609375,1225800
2023-11-16,10053.7998046875,10064.91015625,9954.400390625,9954.400390625,9954.400390625,959000
2023-11-17,9924.16015625,9980.3798828125,9914.48046875,9979.6904296875,9979.6904296875,942000
2023-11-20,9986.919921875,10050.830078125,9924.4404296875,10022.7001953125,10022.7001953125,1118500
2023-11-21,10050.48046875,10113.1904296875,9981.1103515625,9997.08984375,9997.08984375,1234500
2023-11-22,9957.5400390625,9975.08984375,9855.66015625,9855.66015625,9855.66015625,1104400
2023-11-23,9846.6796875,9938.83984375,9814.169921875,9933.01953125,9933.01953125,1041500
2023-11-24,9932.9697265625,9932.9697265625,9816.2802734375,9839.51953125,9839.51953125,987100
2023-11-27,9829.5498046875,9829.5498046875,9736.7802734375,9785.5703125,9785.5703125,970500
2023-11-28,9781.5400390625,9835.1396484375,9742.009765625,9833.4599609375,9833.4599609375,946300
2023-11-29,9826.009765625,9827.740234375,9733.3203125,9744.3896484375,9744.3896484375,1003800
2023-11-30,9728.3798828125,9768.900390625,9677.76953125,9726.919921875,9726.919921875,937500
2023-12-01,9723.9296875,9752.01953125,9624.919921875,9720.5703125,9720.5703125,1126000
2023-12-04,9715.4697265625,9736.1103515625,9660.4404296875,9660.4404296875,9660.4404296875,1123300
2023-12-05,9628.2802734375,9628.2802734375,9470.3603515625,9470.3603515625,9470.3603515625,1044700
2023-12-06,9451.16015625,9599.580078125,9446.8798828125,9533.25,9533.25,1094900
2023-12-07,9518.4501953125,9561.98046875,9456.98046875,9519.91015625,9519.91015625,1040800
2023-12-08,9531.0498046875,9592.919921875,9500.8095703125,9553.919921875,9553.919921875,1285200
2023-12-11,9496.4599609375,9649.8701171875,9406.7001953125,9632.6103515625,9632.6103515625,1329700
2023-12-12,9616.1298828125,9648.9697265625,9593.349609375,9625.259765625,9625.259765625,1007400
2023-12-13,9606.48046875,9606.48046875,9476.6201171875,9476.6201171875,9476.6201171875,923500
2023-12-14,9527.419921875,9578.599609375,9413.8095703125,9417.9697265625,9417.9697265625,912300
2023-12-15,9449.8896484375,9507.4296875,9368.4697265625,9385.330078125,9385.330078125,959800
2023-12-18,9346.9501953125,9376.669921875,9258.9599609375,9279.3896484375,9279.3896484375,845100
2023-12-19,9270.2001953125,9331.990234375,9225.009765625,9289.33984375,9289.33984375,788400
2023-12-20,9303.08984375,9310.8603515625,9158.4404296875,9158.4404296875,9158.4404296875,824800
2023-12-21,9122.41015625,9286.0703125,9106.150390625,9257.08984375,9257.08984375,934800
2023-12-22,9247.0703125,9331.1201171875,9186.0302734375,9221.3095703125,9221.3095703125,1085600
2023-12-25,9200.650390625,9268.26953125,9200.650390625,9256.2802734375,9256.2802734375,801500
2023-12-26,9248.0703125,9248.490234375,9124.8095703125,9157.25,9157.25,777900
2023-12-27,9170.259765625,9211.419921875,9121.169921875,9191.740234375,9191.740234375,881300
2023-12-28,9182.849609375,9476.7998046875,9166.580078125,9441.0498046875,9441.0498046875,1260700
2023-12-29,9434.580078125,9534.6796875,9427.919921875,9524.6904296875,9524.6904296875,1149100
2024-01-02,9527.1103515625,9527.1103515625,9401.349609375,9401.349609375,9401.349609375,1066900
2024-01-03,9378.6904296875,9405.08984375,9280.8203125,9330.8603515625,9330.8603515625,1001200
2024-01-04,9317.400390625,9317.400390625,9171.1298828125,9215.25,9215.25,893300
2024-01-05,9205.3896484375,9275.23046875,9074.9296875,9116.4404296875,9116.4404296875,995700
2024-01-08,9095.7099609375,9119.1201171875,8947.7197265625,8947.7197265625,8947.7197265625,997600
2024-01-09,8960.9697265625,9042.4501953125,8912.0302734375,8971.7197265625,8971.7197265625,945900
2024-01-10,8938.4501953125,9035.1904296875,8857.9697265625,8922.7900390625,8922.7900390625,871400
2024-01-11,8918.23046875,9099.2197265625,8898.2001953125,9053.8798828125,9053.8798828125,995900
2024-01-12,9026.740234375,9095.6103515625,8995.41015625,8996.259765625,8996.259765625,902300
2024-01-15,8957.7197265625,9045.5498046875,8912.4501953125,8963.9296875,8963.9296875,818700
2024-01-16,8946.9296875,9002.33984375,8871.1904296875,8992.0703125,8992.0703125,980700
2024-01-17,8968.5302734375,8968.5302734375,8759.759765625,8759.759765625,8759.759765625,918900
2024-01-18,8706.1396484375,8858.400390625,8585.2001953125,8847.0,8847.0,1339000
2024-01-19,8821.76953125,8890.1201171875,8771.580078125,8787.01953125,8787.01953125,972200
2024-01-22,8769.3896484375,8769.3896484375,8430.6103515625,8479.5498046875,8479.5498046875,1246800
2024-01-23,8465.0,8638.900390625,8402.0595703125,8596.2802734375,8596.2802734375,1158200
2024-01-24,8633.169921875,8693.080078125,8404.0703125,8682.1904296875,8682.1904296875,1248100
2024-01-25,8661.4501953125,8858.2099609375,8621.1796875,8856.2197265625,8856.2197265625,1403900
2024-01-26,8809.759765625,8859.6298828125,8746.099609375,8762.330078125,8762.330078125,1270400
2024-01-29,8775.3798828125,8800.6396484375,8581.759765625,8581.759765625,8581.759765625,1214400
2024-01-30,8523.740234375,8579.58984375,8370.0595703125,8375.98046875,8375.98046875,1063900
2024-01-31,8340.7197265625,8408.669921875,8208.4501953125,8212.83984375,8212.83984375,1298100
2024-02-01,8172.81005859375,8371.3798828125,8134.81005859375,8240.48046875,8240.48046875,1233400
2024-02-02,8239.5,8300.75,7840.6201171875,8055.77001953125,8055.77001953125,1447900
